time,ego_id,target_id,distance,relative_speed,camera,ultrasonic,angle,risk_score
69,37,23,30.494,5.658,0.686,0,-1.466,0.187
69,37,26,7.501,0.0,0.899,0,-1.571,0.194
69,37,27,15.133,0.59,0.815,0,-1.489,0.16
69,37,28,30.549,0.003,0.686,0,-2.315,0.119
69,37,30,25.712,1.818,0.722,0,-0.847,0.149
69,37,31,10.034,7.22,0.869,0,1.246,0.262
69,37,36,7.501,0.0,0.899,0,1.571,0.194
69,37,4,26.056,0.0,0.719,0,-2.102,0.126
69,37,56,7.693,1.568,0.897,0,-1.142,0.211
70,67,33,72.787,0.903,0.478,0,0.165,0.089
70,67,35,16.875,0.908,0.798,0,1.536,0.159
70,67,41,28.439,4.02,0.701,0,1.571,0.17
70,67,54,17.596,0.903,0.791,0,1.04,0.156
71,70,17,61.684,6.593,0.519,0,0.227,0.165
71,70,20,27.891,1.716,0.705,0,0.522,0.144
71,70,23,10.548,4.187,0.863,0,1.401,0.223
71,70,27,19.878,1.884,0.77,0,1.409,0.162
71,70,30,21.527,0.163,0.756,0,0.702,0.138
71,70,4,16.994,0.0,0.797,0,2.461,0.147
71,70,45,76.662,7.726,0.465,0,-1.529,0.169
71,70,46,16.506,0.001,0.802,0,1.001,0.149
71,70,50,37.481,0.86,0.64,0,2.852,0.119
71,70,56,35.95,5.699,0.65,0,1.482,0.179
71,70,8,12.124,0.0,0.846,0,2.06,0.165
72,53,58,62.177,10.858,0.517,0,2.937,0.216
72,53,65,16.935,9.929,0.797,0,0.19,0.267
72,53,68,43.076,8.44,0.607,0,3.142,0.204
72,53,9,39.485,14.286,0.628,0,0.428,0.278
73,22,25,23.028,10.84,0.743,0,-1.571,0.262
73,22,35,38.509,12.245,0.634,0,-1.556,0.255
73,22,41,30.842,12.189,0.684,0,-1.571,0.265
73,22,50,77.565,12.226,0.462,0,-0.594,0.222
74,25,22,14.047,8.981,0.826,0,1.571,0.265
74,25,33,74.561,0.244,0.472,0,-0.273,0.08
74,25,35,15.244,0.245,0.814,0,-1.532,0.156
74,25,41,7.63,0.184,0.897,0,-1.571,0.195
74,25,54,19.117,0.245,0.777,0,-1.086,0.144
75,54,22,27.575,4.866,0.707,0,1.899,0.182
75,54,25,19.057,0.068,0.778,0,2.057,0.142
75,54,33,62.976,0.0,0.514,0,-0.051,0.085
75,54,35,8.482,0.0,0.887,0,2.941,0.186
75,54,41,12.771,0.131,0.839,0,2.342,0.164
75,54,62,4.193,6.207,0.941,1,-0.868,0.362
76,42,15,19.732,6.713,0.772,0,-2.552,0.22
76,42,17,70.504,4.166,0.486,0,-3.031,0.13
76,42,19,26.303,6.702,0.717,0,-2.711,0.206
76,42,40,14.127,6.713,0.825,0,-2.252,0.237
76,42,49,32.708,3.008,0.671,0,-1.669,0.152
76,42,51,9.109,0.37,0.88,0,-2.254,0.186
76,42,64,20.687,3.419,0.763,0,1.571,0.179
77,67,25,49.814,4.109,0.572,0,1.571,0.145
77,67,35,34.85,4.141,0.657,0,1.554,0.162
77,67,54,34.333,4.141,0.66,0,1.309,0.163
77,67,58,37.293,0.825,0.641,0,-1.485,0.119
77,67,62,42.189,5.654,0.612,0,0.79,0.171
77,67,63,23.398,1.285,0.74,0,-1.434,0.147
78,8,17,37.253,0.024,0.642,0,0.086,0.11
78,8,20,29.784,0.002,0.691,0,0.108,0.12
78,8,23,33.827,8.211,0.663,0,3.047,0.212
78,8,27,39.908,5.532,0.626,0,1.346,0.172
78,8,28,15.002,0.0,0.816,0,3.142,0.154
78,8,29,28.946,3.372,0.697,0,1.373,0.162
78,8,33,22.503,0.0,0.748,0,3.142,0.133
78,8,36,9.614,7.813,0.874,0,0.936,0.272
78,8,37,13.171,9.904,0.835,0,-1.123,0.279
78,8,4,7.501,0.0,0.899,0,3.142,0.194
78,8,45,8.944,12.187,0.882,0,0.098,0.329
78,8,46,14.949,0.0,0.817,0,0.216,0.154
78,8,50,30.004,0.0,0.69,0,3.142,0.12
78,8,52,47.583,6.817,0.584,0,1.451,0.18
78,8,62,53.075,11.518,0.557,0,3.142,0.231
78,8,70,31.378,4.392,0.68,0,-1.388,0.17
78,8,72,11.271,3.662,0.855,0,2.854,0.213
79,43,15,47.775,0.648,0.583,0,-0.067,0.105
79,43,17,7.717,0.648,0.896,0,3.142,0.2
79,43,19,40.293,0.648,0.623,0,-0.08,0.113
79,43,20,15.227,0.642,0.814,0,3.142,0.161
79,43,26,7.153,11.221,0.903,0,-0.464,0.331
79,43,30,22.729,0.648,0.746,0,3.142,0.141
79,43,42,69.075,5.417,0.491,0,0.383,0.146
79,43,46,30.23,0.648,0.688,0,3.142,0.127
79,43,48,8.96,2.064,0.882,0,0.0,0.207
79,43,50,74.904,0.648,0.471,0,-3.099,0.085
79,43,51,33.761,9.071,0.664,0,0.0,0.223
79,43,70,55.187,4.212,0.547,0,-2.359,0.142
79,43,73,44.925,4.255,0.597,0,2.498,0.152
79,43,76,49.831,0.648,0.572,0,3.142,0.103
80,33,17,59.698,0.005,0.528,0,0.054,0.087
80,33,20,52.206,0.001,0.561,0,0.061,0.094
80,33,23,29.995,9.451,0.69,0,3.035,0.233
80,33,28,7.501,0.0,0.899,0,0.0,0.194
80,33,29,33.978,5.187,0.662,0,0.592,0.176
80,33,30,44.721,0.0,0.599,0,0.072,0.101
80,33,36,29.751,7.55,0.691,0,-0.324,0.211
80,33,37,38.34,6.893,0.635,0,-0.744,0.191
80,33,4,15.002,0.0,0.816,0,0.0,0.154
80,33,41,72.534,1.449,0.479,0,2.999,0.096
80,33,43,67.213,0.198,0.498,0,0.048,0.084
80,33,45,36.069,7.274,0.649,0,0.514,0.198
80,33,50,7.501,0.0,0.899,0,3.142,0.194
80,33,53,61.62,13.291,0.52,0,-1.036,0.245
80,33,62,17.247,4.675,0.794,0,3.142,0.203
80,33,72,3.348,7.553,0.952,1,1.869,0.398
80,33,73,48.007,6.143,0.581,0,0.858,0.171
80,33,76,17.424,0.376,0.793,0,0.185,0.151
80,33,77,73.792,4.296,0.475,0,-2.908,0.129
81,30,17,15.006,0.0,0.816,0,0.0,0.154
81,30,19,62.976,0.0,0.514,0,-0.051,0.085
81,30,20,7.501,0.0,0.899,0,0.0,0.194
81,30,26,50.078,9.333,0.571,0,-0.064,0.207
81,30,27,58.055,7.797,0.535,0,1.8,0.182
81,30,28,37.243,0.0,0.642,0,-3.056,0.109
81,30,29,19.062,6.035,0.778,0,2.607,0.214
81,30,36,25.447,6.787,0.724,0,-2.271,0.209
81,30,43,22.515,0.016,0.748,0,0.0,0.134
81,30,46,7.501,0.0,0.899,0,3.142,0.194
81,30,48,30.112,0.141,0.689,0,0.0,0.121
81,30,51,41.197,5.545,0.618,0,0.0,0.171
81,30,55,68.725,11.473,0.492,0,1.812,0.219
81,30,56,76.928,0.173,0.464,0,1.743,0.078
81,30,62,60.674,1.263,0.524,0,-3.089,0.102
81,30,76,28.568,1.09,0.7,0,3.142,0.135
81,30,8,22.334,0.0,0.749,0,-2.998,0.134
82,19,15,7.501,0.0,0.899,0,0.0,0.194
82,19,17,47.996,0.001,0.581,0,3.075,0.097
82,19,26,8.086,4.833,0.892,0,3.142,0.247
82,19,30,62.976,0.0,0.514,0,3.091,0.085
82,19,40,15.002,0.0,0.816,0,0.0,0.154
82,19,43,40.512,0.005,0.622,0,3.063,0.105
82,19,51,24.767,2.862,0.729,0,3.012,0.163
82,19,60,41.619,8.423,0.616,0,-0.959,0.205
82,19,61,56.133,8.0,0.543,0,-1.131,0.186
83,43,15,47.993,0.001,0.581,0,-0.067,0.097
83,43,17,7.505,0.0,0.899,0,3.142,0.194
83,43,19,40.512,0.001,0.622,0,-0.079,0.105
83,43,20,15.008,0.0,0.816,0,3.142,0.154
83,43,26,33.003,0.547,0.669,0,-0.097,0.122
83,43,27,75.155,3.797,0.47,0,2.066,0.123
83,43,30,22.509,0.001,0.748,0,3.142,0.133
83,43,40,55.48,0.001,0.546,0,-0.058,0.091
83,43,48,7.502,0.004,0.899,0,0.0,0.194
83,43,51,15.154,0.672,0.815,0,0.0,0.161
83,43,53,39.371,11.538,0.629,0,-2.707,0.245
83,43,61,79.286,7.586,0.457,0,-0.625,0.166
83,43,73,64.855,5.71,0.507,0,2.154,0.152
84,77,22,75.304,9.449,0.47,0,1.571,0.19
84,77,23,59.124,8.293,0.53,0,1.265,0.187
84,77,54,57.081,11.337,0.539,0,1.414,0.225
84,77,58,36.597,3.084,0.646,0,1.483,0.147
84,77,62,77.806,11.333,0.461,0,0.753,0.212
84,77,63,51.193,5.06,0.566,0,1.49,0.155
84,77,65,21.843,2.68,0.753,0,-1.424,0.167
84,77,67,24.71,3.009,0.73,0,-1.571,0.165
84,77,74,72.258,10.114,0.48,0,0.827,0.2
85,76,12,42.227,9.913,0.612,0,-0.914,0.222
85,76,27,73.089,3.158,0.477,0,1.21,0.116
85,76,28,3.716,3.532,0.947,1,-1.037,0.34
85,76,29,29.918,3.694,0.69,0,-0.715,0.164
85,76,30,38.995,3.532,0.631,0,0.0,0.15
85,76,33,6.46,3.532,0.912,0,-2.623,0.246
85,76,4,9.921,3.532,0.87,0,-0.328,0.219
85,76,41,76.879,3.521,0.464,0,3.119,0.118
85,76,45,56.05,1.274,0.543,0,1.093,0.106
85,76,46,31.494,3.532,0.679,0,0.0,0.16
85,76,50,13.497,3.532,0.832,0,-2.902,0.202
85,76,53,25.886,0.187,0.72,0,-0.211,0.129
85,76,55,38.628,4.72,0.633,0,0.946,0.164
85,76,62,20.86,3.531,0.762,0,-2.988,0.179
85,76,63,67.772,2.777,0.496,0,-3.094,0.115
85,76,72,50.339,1.065,0.57,0,3.142,0.108
85,76,73,65.617,1.629,0.504,0,1.167,0.103
85,76,74,28.404,3.266,0.701,0,-3.029,0.161
85,76,8,17.192,3.532,0.795,0,-0.187,0.189
86,56,18,15.005,0.003,0.816,0,1.571,0.154
86,56,27,7.681,0.023,0.897,0,-1.571,0.192
86,56,31,7.504,0.003,0.899,0,1.571,0.194
86,56,45,24.462,1.865,0.732,0,-1.571,0.152
86,56,46,76.307,0.003,0.466,0,-1.496,0.076
86,56,57,13.522,5.78,0.831,0,1.81,0.229
86,56,71,52.373,12.322,0.56,0,0.406,0.241
86,56,73,15.231,0.525,0.814,0,-1.571,0.159
87,42,64,14.227,1.972,0.824,0,1.714,0.18
87,42,66,16.234,2.226,0.804,0,-1.571,0.176
87,42,71,40.152,6.326,0.624,0,2.849,0.182
88,29,17,52.876,7.878,0.558,0,0.935,0.187
88,29,20,48.795,7.878,0.577,0,1.059,0.191
88,29,30,45.592,7.878,0.594,0,1.203,0.194
88,29,35,70.266,7.825,0.487,0,2.547,0.174
88,29,36,24.446,1.406,0.732,0,-1.571,0.146
88,29,46,43.461,7.878,0.605,0,1.365,0.197
88,29,74,64.178,7.878,0.51,0,2.482,0.179
88,29,8,39.751,7.878,0.626,0,1.715,0.201
88,29,80,74.521,4.964,0.472,0,-2.191,0.137
89,73,12,73.416,0.061,0.476,0,-1.571,0.079
89,73,18,30.284,0.173,0.688,0,1.571,0.121
89,73,27,7.57,0.024,0.898,0,1.571,0.193
89,73,30,62.431,0.032,0.516,0,-1.358,0.086
89,73,31,22.579,0.032,0.747,0,1.571,0.134
89,73,45,7.627,0.107,0.897,0,-1.571,0.194
89,73,51,79.339,0.032,0.457,0,-0.877,0.075
89,73,56,15.078,0.032,0.816,0,1.571,0.154
89,73,57,3.441,11.345,0.951,1,-2.765,0.441
89,73,76,75.552,5.613,0.469,0,-2.201,0.144
89,73,8,64.833,0.032,0.507,0,-1.709,0.084
90,17,15,55.486,0.0,0.546,0,-0.058,0.091
90,17,20,7.501,0.0,0.899,0,3.142,0.194
90,17,26,40.518,0.0,0.622,0,-0.079,0.105
90,17,28,52.205,0.0,0.561,0,-3.08,0.094
90,17,30,15.002,0.0,0.816,0,3.142,0.154
90,17,43,7.501,0.0,0.899,0,0.0,0.194
90,17,48,15.002,0.0,0.816,0,0.0,0.154
90,17,51,22.503,0.0,0.748,0,0.0,0.133
90,17,53,29.204,0.0,0.695,0,-2.973,0.121
90,17,57,55.87,13.545,0.544,0,2.168,0.253
90,17,75,43.366,9.676,0.606,0,0.0,0.218
90,17,8,37.243,0.0,0.642,0,-3.056,0.109
90,17,87,57.896,0.0,0.535,0,0.0,0.089
91,56,18,17.474,1.157,0.792,0,1.591,0.16
91,56,27,7.664,0.159,0.897,0,-1.571,0.194
91,56,31,8.214,0.526,0.89,0,1.571,0.194
91,56,45,22.698,0.104,0.746,0,-1.571,0.134
91,56,73,15.171,0.155,0.815,0,-1.571,0.155
91,56,8,79.956,0.162,0.455,0,-1.682,0.076
92,9,29,61.509,4.148,0.52,0,0.579,0.136
92,9,67,17.793,1.525,0.789,0,-2.961,0.163
92,9,78,73.57,2.307,0.475,0,0.733,0.106
93,20,17,7.501,0.0,0.899,0,0.0,0.194
93,20,19,55.486,0.0,0.546,0,-0.058,0.091
93,20,30,7.501,0.0,0.899,0,3.142,0.194
93,20,33,52.205,0.0,0.561,0,-3.08,0.094
93,20,38,61.534,4.707,0.52,0,-1.97,0.142
93,20,43,15.002,0.0,0.816,0,0.0,0.154
93,20,45,57.447,0.008,0.537,0,1.939,0.089
93,20,46,15.002,0.0,0.816,0,3.142,0.154
93,20,48,22.503,0.0,0.748,0,0.0,0.133
93,20,51,30.004,0.0,0.69,0,0.0,0.12
93,20,55,64.458,12.43,0.508,0,3.142,0.233
93,20,57,25.39,9.71,0.724,0,2.798,0.244
93,20,62,67.186,0.0,0.498,0,-3.094,0.082
93,20,73,64.574,0.071,0.508,0,1.897,0.085
93,20,8,29.777,0.0,0.691,0,-3.034,0.12
94,89,12,18.582,0.0,0.782,0,-0.726,0.143
94,89,17,42.104,0.0,0.613,0,0.0,0.104
94,89,28,10.502,0.0,0.864,0,-2.832,0.173
94,89,30,27.102,0.0,0.711,0,0.0,0.124
94,89,33,17.794,0.0,0.789,0,-2.961,0.145
94,89,36,79.89,0.048,0.455,0,-1.436,0.075
94,89,4,4.062,0.0,0.943,1,-2.234,0.29
94,89,46,19.601,0.0,0.773,0,0.0,0.14
94,89,48,57.106,0.0,0.539,0,0.0,0.089
94,89,53,14.18,0.0,0.825,0,-0.352,0.157
94,89,55,39.976,10.12,0.625,0,3.142,0.227
94,89,57,11.524,5.21,0.853,0,0.297,0.23
94,89,62,32.663,0.0,0.671,0,-3.043,0.116
94,89,73,63.03,0.313,0.514,0,1.348,0.089
94,89,75,72.121,0.022,0.48,0,0.0,0.079
94,89,78,38.302,7.779,0.635,0,-1.199,0.201
94,89,8,5.935,0.0,0.918,1,-0.569,0.26
95,59,33,78.944,1.094,0.458,0,-0.429,0.088
95,59,35,53.142,1.094,0.556,0,-0.666,0.106
95,59,39,10.241,0.891,0.867,0,-1.571,0.185
95,59,41,36.761,3.541,0.645,0,-1.104,0.152
95,59,50,72.19,1.094,0.48,0,-0.472,0.092
95,59,62,65.598,1.094,0.504,0,-0.524,0.096
95,59,65,45.047,3.435,0.597,0,-1.571,0.142
95,59,72,38.066,1.094,0.637,0,-0.892,0.121
95,59,79,8.684,0.314,0.885,0,1.571,0.188
95,59,81,16.999,0.672,0.797,0,1.571,0.155
95,59,83,26.236,4.058,0.718,0,1.571,0.175
96,75,12,59.5,0.0,0.528,0,-2.933,0.088
96,75,15,25.59,0.0,0.723,0,-0.125,0.127
96,75,17,30.004,0.0,0.69,0,3.142,0.12
96,75,19,18.172,0.0,0.786,0,-0.177,0.144
96,75,20,37.505,0.0,0.64,0,3.142,0.109
96,75,26,10.869,0.0,0.86,0,-0.299,0.171
96,75,40,33.046,0.0,0.669,0,-0.097,0.115
96,75,43,22.503,0.0,0.748,0,3.142,0.133
96,75,48,15.002,0.0,0.816,0,3.142,0.154
